CONTAINER ID   IMAGE                           COMMAND                 CREATED          STATUS          PORTS                      NAMES
2ec59d02d9bd   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   16 minutes ago   Up 16 minutes   0.0.0.0:10613->51820/udp   wireguard_peer613
76fc0885dc6c   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   16 minutes ago   Up 16 minutes   0.0.0.0:10612->51820/udp   wireguard_peer612
6027b1f4be5e   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10611->51820/udp   wireguard_peer611
e5a8b529d1c9   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10610->51820/udp   wireguard_peer610
88a6ce13eb26   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10609->51820/udp   wireguard_peer609
cb2423491558   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10608->51820/udp   wireguard_peer608
84419b859358   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10607->51820/udp   wireguard_peer607
9c519f06ca0f   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10606->51820/udp   wireguard_peer606
325b79cae454   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10605->51820/udp   wireguard_peer605
cf6e69cdbf53   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10604->51820/udp   wireguard_peer604
b017b265eaef   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10603->51820/udp   wireguard_peer603
f727d194c6cb   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10602->51820/udp   wireguard_peer602
e6e781571330   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10601->51820/udp   wireguard_peer601
77f05b8bd49d   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10600->51820/udp   wireguard_peer600
bc8efb3152f8   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10599->51820/udp   wireguard_peer599
4b7459ea2ea6   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10598->51820/udp   wireguard_peer598
02bad8d72278   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10597->51820/udp   wireguard_peer597
5bd457901723   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   19 minutes ago   Up 19 minutes   0.0.0.0:10596->51820/udp   wireguard_peer596
6f1a16c3fa31   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   20 minutes ago   Up 19 minutes   0.0.0.0:10595->51820/udp   wireguard_peer595
276104f5f0d6   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   20 minutes ago   Up 20 minutes   0.0.0.0:10594->51820/udp   wireguard_peer594
8420ac64320c   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   20 minutes ago   Up 20 minutes   0.0.0.0:10593->51820/udp   wireguard_peer593
